
A continuación se muestran las soluciones viables para el KUKA KR6

 Solución 3 

C_PTP PTP{E6AXIS: A1 14.302131, A2 -80.982308, A3 145.874073, A4 -73.165747, A5 87.540350, A6 -24.302700}
C_PTP PTP{E6AXIS: A1 -22.628816, A2 -99.468652, A3 138.052594, A4 5.815377, A5 53.509939, A6 -116.174477}
C_PTP PTP{E6AXIS: A1 -23.105360, A2 -99.193034, A3 137.898269, A4 6.020905, A5 53.515794, A6 -116.781360}
C_PTP PTP{E6AXIS: A1 -23.577075, A2 -98.913295, A3 137.741248, A4 6.217215, A5 53.519956, A6 -117.378253}
C_PTP PTP{E6AXIS: A1 -24.044033, A2 -98.629601, A3 137.581509, A4 6.404744, A5 53.522517, A6 -117.965474}
C_PTP PTP{E6AXIS: A1 -24.506306, A2 -98.342112, A3 137.419033, A4 6.583908, A5 53.523573, A6 -118.543324}
C_PTP PTP{E6AXIS: A1 -24.963961, A2 -98.050982, A3 137.253801, A4 6.755102, A5 53.523223, A6 -119.112086}
C_PTP PTP{E6AXIS: A1 -25.417066, A2 -97.756357, A3 137.085797, A4 6.918705, A5 53.521568, A6 -119.672032}
C_PTP PTP{E6AXIS: A1 -25.865685, A2 -97.458380, A3 136.915006, A4 7.075075, A5 53.518715, A6 -120.223421}
C_PTP PTP{E6AXIS: A1 -26.309879, A2 -97.157186, A3 136.741412, A4 7.224557, A5 53.514769, A6 -120.766500}
C_PTP PTP{E6AXIS: A1 -26.749710, A2 -96.852906, A3 136.565002, A4 7.367481, A5 53.509840, A6 -121.301504}
C_PTP PTP{E6AXIS: A1 -27.185238, A2 -96.545665, A3 136.385764, A4 7.504164, A5 53.504040, A6 -121.828660}
C_PTP PTP{E6AXIS: A1 -27.616520, A2 -96.235583, A3 136.203686, A4 7.634907, A5 53.497481, A6 -122.348186}
C_PTP PTP{E6AXIS: A1 -28.043613, A2 -95.922775, A3 136.018756, A4 7.760003, A5 53.490276, A6 -122.860290}
C_PTP PTP{E6AXIS: A1 -28.466573, A2 -95.607351, A3 135.830965, A4 7.879730, A5 53.482543, A6 -123.365175}
C_PTP PTP{E6AXIS: A1 -28.885455, A2 -95.289418, A3 135.640303, A4 7.994360, A5 53.474396, A6 -123.863035}
C_PTP PTP{E6AXIS: A1 -29.300311, A2 -94.969075, A3 135.446761, A4 8.104150, A5 53.465953, A6 -124.354057}
C_PTP PTP{E6AXIS: A1 -29.711195, A2 -94.646420, A3 135.250332, A4 8.209350, A5 53.457332, A6 -124.838422}
C_PTP PTP{E6AXIS: A1 -30.118159, A2 -94.321544, A3 135.051007, A4 8.310201, A5 53.448652, A6 -125.316307}
C_PTP PTP{E6AXIS: A1 -30.521252, A2 -93.994536, A3 134.848779, A4 8.406936, A5 53.440033, A6 -125.787882}
C_PTP PTP{E6AXIS: A1 -30.920526, A2 -93.665480, A3 134.643642, A4 8.499779, A5 53.431592, A6 -126.253312}
C_PTP PTP{E6AXIS: A1 -31.316029, A2 -93.334454, A3 134.435589, A4 8.588947, A5 53.423451, A6 -126.712758}
C_PTP PTP{E6AXIS: A1 -31.707810, A2 -93.001536, A3 134.224615, A4 8.674648, A5 53.415728, A6 -127.166375}
C_PTP PTP{E6AXIS: A1 -32.095917, A2 -92.666795, A3 134.010714, A4 8.757085, A5 53.408545, A6 -127.614316}
C_PTP PTP{E6AXIS: A1 -32.480398, A2 -92.330302, A3 133.793881, A4 8.836455, A5 53.402020, A6 -128.056728}
C_PTP PTP{E6AXIS: A1 -32.861298, A2 -91.992120, A3 133.574111, A4 8.912946, A5 53.396274, A6 -128.493755}
C_PTP PTP{E6AXIS: A1 -33.238664, A2 -91.652311, A3 133.351399, A4 8.986741, A5 53.391425, A6 -128.925537}
C_PTP PTP{E6AXIS: A1 -33.612540, A2 -91.310930, A3 133.125741, A4 9.058019, A5 53.387595, A6 -129.352212}
C_PTP PTP{E6AXIS: A1 -33.982973, A2 -90.968033, A3 132.897132, A4 9.126950, A5 53.384901, A6 -129.773912}
C_PTP PTP{E6AXIS: A1 -34.350005, A2 -90.623669, A3 132.665568, A4 9.193700, A5 53.383462, A6 -130.190768}
C_PTP PTP{E6AXIS: A1 -34.713680, A2 -90.277887, A3 132.431046, A4 9.258432, A5 53.383397, A6 -130.602906}
C_PTP PTP{E6AXIS: A1 -35.074041, A2 -89.930729, A3 132.193560, A4 9.321300, A5 53.384824, A6 -131.010450}
C_PTP PTP{E6AXIS: A1 -35.431131, A2 -89.582236, A3 131.953107, A4 9.382455, A5 53.387860, A6 -131.413521}
C_PTP PTP{E6AXIS: A1 -35.784991, A2 -89.232446, A3 131.709683, A4 9.442044, A5 53.392622, A6 -131.812238}
C_PTP PTP{E6AXIS: A1 -36.135663, A2 -88.881395, A3 131.463283, A4 9.500208, A5 53.399226, A6 -132.206714}
C_PTP PTP{E6AXIS: A1 -36.483187, A2 -88.529113, A3 131.213904, A4 9.557084, A5 53.407788, A6 -132.597064}
C_PTP PTP{E6AXIS: A1 -36.827603, A2 -88.175629, A3 130.961541, A4 9.612805, A5 53.418424, A6 -132.983395}
C_PTP PTP{E6AXIS: A1 -37.168952, A2 -87.820970, A3 130.706190, A4 9.667498, A5 53.431248, A6 -133.365815}
C_PTP PTP{E6AXIS: A1 -37.507272, A2 -87.465158, A3 130.447846, A4 9.721287, A5 53.446374, A6 -133.744428}
C_PTP PTP{E6AXIS: A1 -37.842602, A2 -87.108215, A3 130.186505, A4 9.774294, A5 53.463916, A6 -134.119336}
C_PTP PTP{E6AXIS: A1 -38.174979, A2 -86.750158, A3 129.922161, A4 9.826632, A5 53.483985, A6 -134.490636}
C_PTP PTP{E6AXIS: A1 -38.504442, A2 -86.391002, A3 129.654810, A4 9.878415, A5 53.506694, A6 -134.858426}
C_PTP PTP{E6AXIS: A1 -38.831028, A2 -86.030762, A3 129.384447, A4 9.929750, A5 53.532155, A6 -135.222798}
C_PTP PTP{E6AXIS: A1 -39.154772, A2 -85.669447, A3 129.111065, A4 9.980741, A5 53.560477, A6 -135.583844}
C_PTP PTP{E6AXIS: A1 -39.475711, A2 -85.307064, A3 128.834659, A4 10.031489, A5 53.591770, A6 -135.941652}
C_PTP PTP{E6AXIS: A1 -39.793881, A2 -84.943622, A3 128.555223, A4 10.082090, A5 53.626144, A6 -136.296306}
C_PTP PTP{E6AXIS: A1 -40.109315, A2 -84.579121, A3 128.272750, A4 10.132637, A5 53.663707, A6 -136.647891}
C_PTP PTP{E6AXIS: A1 -40.422050, A2 -84.213565, A3 127.987233, A4 10.183220, A5 53.704566, A6 -136.996485}
C_PTP PTP{E6AXIS: A1 -40.732117, A2 -83.846952, A3 127.698665, A4 10.233925, A5 53.748828, A6 -137.342167}
C_PTP PTP{E6AXIS: A1 -41.039552, A2 -83.479279, A3 127.407039, A4 10.284833, A5 53.796599, A6 -137.685011}
C_PTP PTP{E6AXIS: A1 -41.344386, A2 -83.110541, A3 127.112347, A4 10.336024, A5 53.847984, A6 -138.025089}
C_PTP PTP{E6AXIS: A1 -41.646652, A2 -82.740732, A3 126.814580, A4 10.387573, A5 53.903087, A6 -138.362472}
C_PTP PTP{E6AXIS: A1 -41.946382, A2 -82.369842, A3 126.513729, A4 10.439552, A5 53.962012, A6 -138.697224}
C_PTP PTP{E6AXIS: A1 -42.243606, A2 -81.997861, A3 126.209785, A4 10.492030, A5 54.024861, A6 -139.029411}
C_PTP PTP{E6AXIS: A1 -42.538357, A2 -81.624776, A3 125.902739, A4 10.545070, A5 54.091736, A6 -139.359092}
C_PTP PTP{E6AXIS: A1 -42.830664, A2 -81.250573, A3 125.592579, A4 10.598736, A5 54.162739, A6 -139.686327}
C_PTP PTP{E6AXIS: A1 -43.111828, A2 -80.886591, A3 125.288816, A4 10.603188, A5 54.189001, A6 -139.973175}
C_PTP PTP{E6AXIS: A1 13.242246, A2 -78.090770, A3 141.609434, A4 -74.057223, A5 87.485276, A6 -25.751455}
C_PTP PTP{E6AXIS: A1 12.497218, A2 -83.349353, A3 141.187520, A4 -69.231412, A5 80.096198, A6 -31.840870}
C_PTP PTP{E6AXIS: A1 9.434774, A2 -90.883356, A3 140.288482, A4 -54.057300, A5 64.442418, A6 -45.359153}
C_PTP PTP{E6AXIS: A1 7.561468, A2 -93.395762, A3 139.876611, A4 -46.596202, A5 59.734346, A6 -52.216667}
C_PTP PTP{E6AXIS: A1 5.995316, A2 -94.967681, A3 139.570404, A4 -40.834612, A5 56.986984, A6 -57.611466}
C_PTP PTP{E6AXIS: A1 4.604434, A2 -96.076431, A3 139.319474, A4 -36.023592, A5 55.177002, A6 -62.189964}
C_PTP PTP{E6AXIS: A1 3.330934, A2 -96.902803, A3 139.103141, A4 -31.850423, A5 53.916755, A6 -66.219920}
C_PTP PTP{E6AXIS: A1 2.144731, A2 -97.535350, A3 138.910819, A4 -28.153838, A5 53.016963, A6 -69.838973}
C_PTP PTP{E6AXIS: A1 1.028696, A2 -98.024611, A3 138.736335, A4 -24.840662, A5 52.370395, A6 -73.126645}
C_PTP PTP{E6AXIS: A1 -0.027561, A2 -98.402719, A3 138.575743, A4 -21.852539, A5 51.909629, A6 -76.132859}
C_PTP PTP{E6AXIS: A1 -1.030674, A2 -98.691849, A3 138.426338, A4 -19.150385, A5 51.588819, A6 -78.891199}
C_PTP PTP{E6AXIS: A1 -1.985083, A2 -98.908307, A3 138.286154, A4 -16.706379, A5 51.374869, A6 -81.425711}
C_PTP PTP{E6AXIS: A1 -2.893905, A2 -99.064687, A3 138.153706, A4 -14.499575, A5 51.242771, A6 -83.754613}
C_PTP PTP{E6AXIS: A1 -3.759438, A2 -99.171094, A3 138.027837, A4 -12.513400, A5 51.172987, A6 -85.892406}
C_PTP PTP{E6AXIS: A1 -4.583461, A2 -99.235874, A3 137.907622, A4 -10.734188, A5 51.149874, A6 -87.851106}
C_PTP PTP{E6AXIS: A1 -5.367421, A2 -99.266069, A3 137.792318, A4 -9.150300, A5 51.160695, A6 -89.640974}
C_PTP PTP{E6AXIS: A1 -6.112542, A2 -99.267718, A3 137.681324, A4 -7.751603, A5 51.194967, A6 -91.270953}
C_PTP PTP{E6AXIS: A1 -6.819900, A2 -99.246057, A3 137.574156, A4 -6.529145, A5 51.244007, A6 -92.748940}
C_PTP PTP{E6AXIS: A1 -7.490462, A2 -99.205665, A3 137.470433, A4 -5.474962, A5 51.300606, A6 -94.081945}
C_PTP PTP{E6AXIS: A1 -8.125114, A2 -99.150565, A3 137.369860, A4 -4.581945, A5 51.358787, A6 -95.276203}
C_PTP PTP{E6AXIS: A1 -8.729026, A2 -99.083775, A3 137.271505, A4 -3.819967, A5 51.415649, A6 -96.356437}
C_PTP PTP{E6AXIS: A1 -9.316301, A2 -99.005978, A3 137.173032, A4 -3.124661, A5 51.473309, A6 -97.377391}
C_PTP PTP{E6AXIS: A1 -9.895836, A2 -98.916905, A3 137.073013, A4 -2.463754, A5 51.533087, A6 -98.368313}
C_PTP PTP{E6AXIS: A1 -10.466990, A2 -98.817362, A3 136.971517, A4 -1.840399, A5 51.593764, A6 -99.326785}
C_PTP PTP{E6AXIS: A1 -11.030250, A2 -98.707936, A3 136.868429, A4 -1.251552, A5 51.654808, A6 -100.255353}
C_PTP PTP{E6AXIS: A1 -11.586045, A2 -98.589151, A3 136.763645, A4 -0.694523, A5 51.715783, A6 -101.156263}
C_PTP PTP{E6AXIS: A1 -12.134745, A2 -98.461483, A3 136.657072, A4 -0.166937, A5 51.776331, A6 -102.031487}
C_PTP PTP{E6AXIS: A1 -12.676676, A2 -98.325365, A3 136.548627, A4 0.333307, A5 51.836155, A6 -102.882767}
C_PTP PTP{E6AXIS: A1 -13.212125, A2 -98.181195, A3 136.438236, A4 0.808088, A5 51.895014, A6 -103.711648}
C_PTP PTP{E6AXIS: A1 -13.741345, A2 -98.029337, A3 136.325831, A4 1.259088, A5 51.952708, A6 -104.519511}
C_PTP PTP{E6AXIS: A1 -14.264564, A2 -97.870131, A3 136.211348, A4 1.687823, A5 52.009074, A6 -105.307594}
C_PTP PTP{E6AXIS: A1 -14.781985, A2 -97.703892, A3 136.094731, A4 2.095668, A5 52.063984, A6 -106.077011}
C_PTP PTP{E6AXIS: A1 -15.293790, A2 -97.530915, A3 135.975928, A4 2.483870, A5 52.117333, A6 -106.828771}
C_PTP PTP{E6AXIS: A1 -15.800146, A2 -97.351475, A3 135.854891, A4 2.853572, A5 52.169043, A6 -107.563790}
C_PTP PTP{E6AXIS: A1 -16.301202, A2 -97.165834, A3 135.731575, A4 3.205819, A5 52.219053, A6 -108.282901}
C_PTP PTP{E6AXIS: A1 -16.797096, A2 -96.974236, A3 135.605939, A4 3.541575, A5 52.267322, A6 -108.986869}
C_PTP PTP{E6AXIS: A1 -17.287955, A2 -96.776913, A3 135.477944, A4 3.861730, A5 52.313824, A6 -109.676394}
C_PTP PTP{E6AXIS: A1 -17.773894, A2 -96.574085, A3 135.347556, A4 4.167107, A5 52.358547, A6 -110.352122}
C_PTP PTP{E6AXIS: A1 -18.255023, A2 -96.365962, A3 135.214740, A4 4.458472, A5 52.401491, A6 -111.014649}
C_PTP PTP{E6AXIS: A1 -18.731441, A2 -96.152742, A3 135.079467, A4 4.736541, A5 52.442667, A6 -111.664527}
C_PTP PTP{E6AXIS: A1 -19.203242, A2 -95.934615, A3 134.941707, A4 5.001981, A5 52.482096, A6 -112.302270}
C_PTP PTP{E6AXIS: A1 -19.670514, A2 -95.711762, A3 134.801432, A4 5.255418, A5 52.519806, A6 -112.928355}
C_PTP PTP{E6AXIS: A1 -20.133339, A2 -95.484356, A3 134.658619, A4 5.497440, A5 52.555836, A6 -113.543229}
C_PTP PTP{E6AXIS: A1 -20.591796, A2 -95.252563, A3 134.513243, A4 5.728600, A5 52.590231, A6 -114.147311}
C_PTP PTP{E6AXIS: A1 -21.045958, A2 -95.016541, A3 134.365283, A4 5.949421, A5 52.623040, A6 -114.740991}
C_PTP PTP{E6AXIS: A1 -21.495896, A2 -94.776441, A3 134.214716, A4 6.160398, A5 52.654320, A6 -115.324641}
C_PTP PTP{E6AXIS: A1 -21.941677, A2 -94.532411, A3 134.061525, A4 6.361998, A5 52.684134, A6 -115.898607}
C_PTP PTP{E6AXIS: A1 -22.383365, A2 -94.284588, A3 133.905689, A4 6.554665, A5 52.712549, A6 -116.463218}
C_PTP PTP{E6AXIS: A1 -22.821021, A2 -94.033107, A3 133.747193, A4 6.738824, A5 52.739635, A6 -117.018787}
C_PTP PTP{E6AXIS: A1 -23.254705, A2 -93.778096, A3 133.586020, A4 6.914874, A5 52.765468, A6 -117.565608}
C_PTP PTP{E6AXIS: A1 -23.684473, A2 -93.519679, A3 133.422155, A4 7.083201, A5 52.790126, A6 -118.103962}
C_PTP PTP{E6AXIS: A1 -24.110381, A2 -93.257973, A3 133.255583, A4 7.244171, A5 52.813692, A6 -118.634117}
C_PTP PTP{E6AXIS: A1 -24.532482, A2 -92.993094, A3 133.086291, A4 7.398134, A5 52.836251, A6 -119.156327}
C_PTP PTP{E6AXIS: A1 -24.950826, A2 -92.725148, A3 132.914267, A4 7.545425, A5 52.857891, A6 -119.670836}
C_PTP PTP{E6AXIS: A1 -25.365466, A2 -92.454242, A3 132.739497, A4 7.686367, A5 52.878701, A6 -120.177879}
C_PTP PTP{E6AXIS: A1 -25.776449, A2 -92.180475, A3 132.561971, A4 7.821267, A5 52.898775, A6 -120.677677}
C_PTP PTP{E6AXIS: A1 -26.183824, A2 -91.903942, A3 132.381678, A4 7.950422, A5 52.918207, A6 -121.170446}
C_PTP PTP{E6AXIS: A1 -26.587635, A2 -91.624737, A3 132.198608, A4 8.074118, A5 52.937093, A6 -121.656392}
C_PTP PTP{E6AXIS: A1 -26.987931, A2 -91.342946, A3 132.012751, A4 8.192628, A5 52.955533, A6 -122.135715}
C_PTP PTP{E6AXIS: A1 -27.384753, A2 -91.058655, A3 131.824099, A4 8.306217, A5 52.973625, A6 -122.608604}
C_PTP PTP{E6AXIS: A1 -27.778147, A2 -90.771943, A3 131.632641, A4 8.415140, A5 52.991471, A6 -123.075245}
C_PTP PTP{E6AXIS: A1 -28.168155, A2 -90.482888, A3 131.438371, A4 8.519642, A5 53.009172, A6 -123.535817}
C_PTP PTP{E6AXIS: A1 -28.554818, A2 -90.191563, A3 131.241280, A4 8.619960, A5 53.026833, A6 -123.990491}
C_PTP PTP{E6AXIS: A1 -28.938178, A2 -89.898037, A3 131.041360, A4 8.716323, A5 53.044557, A6 -124.439435}
C_PTP PTP{E6AXIS: A1 -29.318276, A2 -89.602378, A3 130.838604, A4 8.808952, A5 53.062451, A6 -124.882810}
C_PTP PTP{E6AXIS: A1 -29.695151, A2 -89.304648, A3 130.633006, A4 8.898062, A5 53.080619, A6 -125.320774}
C_PTP PTP{E6AXIS: A1 -30.068842, A2 -89.004908, A3 130.424557, A4 8.983859, A5 53.099169, A6 -125.753479}
C_PTP PTP{E6AXIS: A1 -30.439388, A2 -88.703214, A3 130.213252, A4 9.066544, A5 53.118208, A6 -126.181072}
C_PTP PTP{E6AXIS: A1 -30.806827, A2 -88.399621, A3 129.999085, A4 9.146310, A5 53.137843, A6 -126.603696}
C_PTP PTP{E6AXIS: A1 -31.171197, A2 -88.094179, A3 129.782048, A4 9.223344, A5 53.158183, A6 -127.021492}
C_PTP PTP{E6AXIS: A1 -31.532533, A2 -87.786936, A3 129.562135, A4 9.297830, A5 53.179336, A6 -127.434595}
C_PTP PTP{E6AXIS: A1 -31.890873, A2 -87.477937, A3 129.339341, A4 9.369942, A5 53.201411, A6 -127.843136}
C_PTP PTP{E6AXIS: A1 -32.246253, A2 -87.167224, A3 129.113659, A4 9.439851, A5 53.224518, A6 -128.247244}
C_PTP PTP{E6AXIS: A1 -32.598707, A2 -86.854837, A3 128.885082, A4 9.507723, A5 53.248764, A6 -128.647045}
C_PTP PTP{E6AXIS: A1 -32.948270, A2 -86.540812, A3 128.653606, A4 9.573718, A5 53.274259, A6 -129.042659}
C_PTP PTP{E6AXIS: A1 -33.294978, A2 -86.225184, A3 128.419223, A4 9.637990, A5 53.301114, A6 -129.434206}
C_PTP PTP{E6AXIS: A1 -33.638863, A2 -85.907985, A3 128.181927, A4 9.700690, A5 53.329436, A6 -129.821799}
C_PTP PTP{E6AXIS: A1 -33.979960, A2 -85.589242, A3 127.941713, A4 9.761964, A5 53.359336, A6 -130.205552}
C_PTP PTP{E6AXIS: A1 -34.318301, A2 -85.268983, A3 127.698572, A4 9.821952, A5 53.390922, A6 -130.585573}
C_PTP PTP{E6AXIS: A1 -34.653919, A2 -84.947232, A3 127.452500, A4 9.880792, A5 53.424304, A6 -130.961969}
C_PTP PTP{E6AXIS: A1 -34.986846, A2 -84.624011, A3 127.203490, A4 9.938616, A5 53.459591, A6 -131.334843}
C_PTP PTP{E6AXIS: A1 -35.317114, A2 -84.299338, A3 126.951533, A4 9.995552, A5 53.496891, A6 -131.704295}
C_PTP PTP{E6AXIS: A1 -35.644753, A2 -83.973232, A3 126.696623, A4 10.051723, A5 53.536314, A6 -132.070423}
C_PTP PTP{E6AXIS: A1 -35.969796, A2 -83.645706, A3 126.438754, A4 10.107250, A5 53.577966, A6 -132.433321}
C_PTP PTP{E6AXIS: A1 -36.292272, A2 -83.316773, A3 126.177916, A4 10.162248, A5 53.621958, A6 -132.793082}
C_PTP PTP{E6AXIS: A1 -36.612212, A2 -82.986445, A3 125.914103, A4 10.216830, A5 53.668395, A6 -133.149794}
C_PTP PTP{E6AXIS: A1 -36.929644, A2 -82.654729, A3 125.647307, A4 10.271103, A5 53.717387, A6 -133.503544}
C_PTP PTP{E6AXIS: A1 -37.244599, A2 -82.321632, A3 125.377518, A4 10.325171, A5 53.769040, A6 -133.854417}
C_PTP PTP{E6AXIS: A1 -37.557105, A2 -81.987158, A3 125.104728, A4 10.379136, A5 53.823460, A6 -134.202491}
C_PTP PTP{E6AXIS: A1 -37.867190, A2 -81.651310, A3 124.828928, A4 10.433094, A5 53.880755, A6 -134.547847}
C_PTP PTP{E6AXIS: A1 -38.174882, A2 -81.314088, A3 124.550108, A4 10.487138, A5 53.941030, A6 -134.890559}
C_PTP PTP{E6AXIS: A1 -38.480209, A2 -80.975491, A3 124.268260, A4 10.541358, A5 54.004391, A6 -135.230700}
C_PTP PTP{E6AXIS: A1 -38.783197, A2 -80.635514, A3 123.983372, A4 10.595840, A5 54.070943, A6 -135.568340}
C_PTP PTP{E6AXIS: A1 -39.083875, A2 -80.294154, A3 123.695434, A4 10.650665, A5 54.140790, A6 -135.903545}
C_PTP PTP{E6AXIS: A1 -39.382267, A2 -79.951404, A3 123.404435, A4 10.705914, A5 54.214037, A6 -136.236382}
C_PTP PTP{E6AXIS: A1 -39.678400, A2 -79.607254, A3 123.110363, A4 10.761661, A5 54.290788, A6 -136.566910}
C_PTP PTP{E6AXIS: A1 -39.972299, A2 -79.261695, A3 122.813207, A4 10.817979, A5 54.371145, A6 -136.895189}
C_PTP PTP{E6AXIS: A1 -40.263989, A2 -78.914714, A3 122.512954, A4 10.874936, A5 54.455210, A6 -137.221275}
C_PTP PTP{E6AXIS: A1 -40.553494, A2 -78.566298, A3 122.209592, A4 10.932598, A5 54.543086, A6 -137.545221}
C_PTP PTP{E6AXIS: A1 -40.832185, A2 -78.227024, A3 121.912421, A4 10.939136, A5 54.586908, A6 -137.828358}
C_PTP PTP{E6AXIS: A1 12.326342, A2 -75.320139, A3 137.268250, A4 -74.800288, A5 87.502645, A6 -27.378516}
C_PTP PTP{E6AXIS: A1 11.629768, A2 -80.034910, A3 136.892365, A4 -69.771874, A5 80.001222, A6 -32.939890}
C_PTP PTP{E6AXIS: A1 8.771735, A2 -86.826730, A3 136.097451, A4 -54.386272, A5 64.170494, A6 -45.760459}
